fruit,price,grade,supplier,updated
pineapple_whole_organic_0050,3.56,A,S111,2026-04-24
watermelon_slice_pack_premium_0051,3.71,B,S118,2026-04-24
raspberry_uk_kg_0052,7.05,A,S005,2026-04-24
cherry_turkish_family_0053,7.80,B,S012,2026-04-24
plum_black_value_0054,3.09,C,S019,2026-04-24
peach_yellow_box_0055,3.36,A,S026,2026-04-24
apricot_premium_single_0056,4.37,B,S033,2026-04-24
papaya_green_organic_0057,4.89,A,S040,2026-04-24
pomegranate_imported_premium_0058,4.06,A,S047,2026-04-24
lime_organic_kg_0059,2.17,A,S054,2026-04-24
lemon_standard_family_0060,2.62,B,S061,2026-04-24
apple_granny_smith_value_0061,2.92,C,S068,2026-04-24
banana_organic_box_0062,1.37,C,S075,2026-04-24
orange_easy_peel_single_0063,2.15,B,S082,2026-04-24
mango_kent_organic_0064,5.98,A,S089,2026-04-24
grapes_red_premium_0065,4.40,A,S096,2026-04-24
pear_packham_kg_0066,2.80,A,S103,2026-04-24
kiwi_gold_family_0067,3.71,A,S110,2026-04-24
strawberry_premium_value_0068,5.07,A,S117,2026-04-24
blueberry_organic_box_0069,6.21,A,S004,2026-04-24
pineapple_whole_single_0070,3.19,B,S011,2026-04-24
watermelon_slice_pack_organic_0071,4.21,C,S018,2026-04-24
raspberry_uk_premium_0072,6.36,B,S025,2026-04-24
cherry_turkish_kg_0073,8.25,A,S032,2026-04-24
plum_black_family_0074,2.89,B,S039,2026-04-24
peach_yellow_value_0075,3.69,B,S046,2026-04-24
apricot_premium_box_0076,4.08,A,S053,2026-04-24
papaya_green_single_0077,5.60,B,S060,2026-04-24
pomegranate_imported_organic_0078,3.79,B,S067,2026-04-24
lime_organic_premium_0079,2.49,C,S074,2026-04-24
lemon_standard_kg_0080,2.34,B,S081,2026-04-24
apple_granny_smith_family_0081,3.23,C,S088,2026-04-24
banana_organic_value_0082,1.17,C,S095,2026-04-24
orange_easy_peel_box_0083,2.47,A,S102,2026-04-24
mango_kent_single_0084,5.56,B,S109,2026-04-24
grapes_red_organic_0085,4.86,C,S116,2026-04-24
pear_packham_premium_0086,2.60,A,S003,2026-04-24
kiwi_gold_kg_0087,4.10,A,S010,2026-04-24
strawberry_premium_family_0088,4.71,C,S017,2026-04-24
blueberry_organic_value_0089,7.16,A,S024,2026-04-24
pineapple_whole_box_0090,2.86,B,S031,2026-04-24
watermelon_slice_pack_single_0091,3.91,B,S038,2026-04-24
raspberry_uk_organic_0092,5.66,B,S045,2026-04-24
cherry_turkish_premium_0093,7.72,C,S052,2026-04-24
plum_black_kg_0094,3.30,B,S059,2026-04-24
peach_yellow_family_0095,3.46,A,S066,2026-04-24
apricot_premium_value_0096,4.67,C,S073,2026-04-24
papaya_green_box_0097,5.03,B,S080,2026-04-24
pomegranate_imported_single_0098,4.34,A,S087,2026-04-24
lime_organic_organic_0099,2.15,C,S094,2026-04-24
lemon_standard_premium_0100,2.59,A,S101,2026-04-24
apple_granny_smith_kg_0101,3.02,A,S108,2026-04-24
banana_organic_family_0102,1.35,A,S115,2026-04-24
orange_easy_peel_value_0103,2.31,A,S002,2026-04-24
mango_kent_box_0104,6.13,A,S009,2026-04-24
grapes_red_single_0105,4.53,B,S016,2026-04-24
pear_packham_organic_0106,2.99,A,S023,2026-04-24
kiwi_gold_premium_0107,3.82,B,S030,2026-04-24
strawberry_premium_kg_0108,5.22,A,S037,2026-04-24
blueberry_organic_family_0109,6.16,B,S044,2026-04-24
pineapple_whole_value_0110,3.29,A,S051,2026-04-24
watermelon_slice_pack_box_0111,3.46,B,S058,2026-04-24
raspberry_uk_single_0112,6.52,B,S065,2026-04-24
cherry_turkish_organic_0113,7.17,B,S072,2026-04-24
plum_black_premium_0114,2.97,A,S079,2026-04-24
peach_yellow_kg_0115,3.21,B,S086,2026-04-24
apricot_premium_family_0116,4.20,C,S093,2026-04-24
papaya_green_value_0117,5.54,C,S100,2026-04-24
pomegranate_imported_box_0118,3.91,B,S107,2026-04-24
lime_organic_single_0119,2.46,C,S114,2026-04-24
lemon_standard_organic_0120,2.42,B,S001,2026-04-24
apple_granny_smith_premium_0121,3.32,A,S008,2026-04-24
banana_organic_kg_0122,1.26,B,S015,2026-04-24
orange_easy_peel_family_0123,2.54,B,S022,2026-04-24
mango_kent_value_0124,5.72,A,S029,2026-04-24
grapes_red_box_0125,5.18,A,S036,2026-04-24
pear_packham_single_0126,2.59,B,S043,2026-04-24
kiwi_gold_organic_0127,4.22,B,S050,2026-04-24
strawberry_premium_premium_0128,4.67,A,S057,2026-04-24
blueberry_organic_kg_0129,7.08,B,S064,2026-04-24
pineapple_whole_family_0130,3.06,C,S071,2026-04-24
watermelon_slice_pack_value_0131,3.95,A,S078,2026-04-24
raspberry_uk_box_0132,6.07,B,S085,2026-04-24
cherry_turkish_single_0133,7.92,A,S092,2026-04-24
plum_black_organic_0134,2.75,A,S099,2026-04-24
peach_yellow_premium_0135,3.56,A,S106,2026-04-24
apricot_premium_kg_0136,3.75,B,S113,2026-04-24
papaya_green_family_0137,5.19,A,S120,2026-04-24
pomegranate_imported_value_0138,3.48,B,S007,2026-04-24
lime_organic_box_0139,2.30,B,S014,2026-04-24
lemon_standard_single_0140,2.66,C,S021,2026-04-24
apple_granny_smith_organic_0141,3.10,A,S028,2026-04-24
banana_organic_premium_0142,1.44,C,S035,2026-04-24
orange_easy_peel_kg_0143,2.37,C,S042,2026-04-24
mango_kent_family_0144,6.31,B,S049,2026-04-24
grapes_red_value_0145,4.49,C,S056,2026-04-24
pear_packham_box_0146,2.96,A,S063,2026-04-24
kiwi_gold_single_0147,3.94,B,S070,2026-04-24
strawberry_premium_organic_0148,5.36,C,S077,2026-04-24
blueberry_organic_premium_0149,6.60,B,S084,2026-04-24
pineapple_whole_kg_0150,3.37,C,S091,2026-04-24
watermelon_slice_pack_family_0151,3.65,C,S098,2026-04-24
raspberry_uk_value_0152,6.69,A,S105,2026-04-24
cherry_turkish_box_0153,7.11,B,S112,2026-04-24
plum_black_single_0154,3.05,A,S119,2026-04-24
peach_yellow_organic_0155,3.18,B,S006,2026-04-24
apricot_premium_premium_0156,4.32,C,S013,2026-04-24
papaya_green_kg_0157,4.63,A,S020,2026-04-24
pomegranate_imported_family_0158,4.01,A,S027,2026-04-24
lime_organic_value_0159,2.14,A,S034,2026-04-24
lemon_standard_box_0160,2.48,C,S041,2026-04-24
apple_granny_smith_single_0161,2.87,B,S048,2026-04-24
banana_organic_organic_0162,1.24,A,S055,2026-04-24
orange_easy_peel_premium_0163,2.61,A,S062,2026-04-24
mango_kent_kg_0164,5.66,B,S069,2026-04-24
grapes_red_family_0165,5.13,A,S076,2026-04-24
pear_packham_value_0166,2.77,B,S083,2026-04-24
kiwi_gold_box_0167,4.33,B,S090,2026-04-24
strawberry_premium_single_0168,5.00,A,S097,2026-04-24
blueberry_organic_organic_0169,7.26,A,S104,2026-04-24
pineapple_whole_premium_0170,3.15,A,S111,2026-04-24
watermelon_slice_pack_kg_0171,4.15,B,S118,2026-04-24
raspberry_uk_family_0172,6.02,A,S005,2026-04-24
cherry_turkish_value_0173,8.16,A,S012,2026-04-24
plum_black_box_0174,2.74,C,S019,2026-04-24
peach_yellow_single_0175,3.65,A,S026,2026-04-24
apricot_premium_organic_0176,4.02,A,S033,2026-04-24
papaya_green_premium_0177,5.32,C,S040,2026-04-24
pomegranate_imported_kg_0178,3.73,A,S047,2026-04-24
lime_organic_family_0179,2.36,A,S054,2026-04-24
lemon_standard_value_0180,2.23,A,S061,2026-04-24
apple_granny_smith_box_0181,3.06,B,S068,2026-04-24
banana_organic_single_0182,1.16,C,S075,2026-04-24
orange_easy_peel_organic_0183,2.44,C,S082,2026-04-24
mango_kent_premium_0184,5.26,A,S089,2026-04-24
grapes_red_kg_0185,4.80,C,S096,2026-04-24
pear_packham_family_0186,3.03,B,S103,2026-04-24
kiwi_gold_value_0187,4.05,A,S110,2026-04-24
strawberry_premium_box_0188,5.71,A,S117,2026-04-24
blueberry_organic_single_0189,6.54,A,S004,2026-04-24
pineapple_whole_organic_0190,3.47,A,S011,2026-04-24
watermelon_slice_pack_premium_0191,3.69,A,S018,2026-04-24
raspberry_uk_kg_0192,6.90,B,S025,2026-04-24
cherry_turkish_family_0193,7.31,C,S032,2026-04-24
plum_black_value_0194,3.13,A,S039,2026-04-24
peach_yellow_box_0195,3.40,B,S046,2026-04-24
apricot_premium_single_0196,4.43,A,S053,2026-04-24
papaya_green_organic_0197,4.96,A,S060,2026-04-24
pomegranate_imported_premium_0198,3.97,A,S067,2026-04-24
lime_organic_kg_0199,2.12,B,S074,2026-04-24
lemon_standard_family_0200,2.56,A,S081,2026-04-24
apple_granny_smith_value_0201,2.85,A,S088,2026-04-24
banana_organic_box_0202,1.33,A,S095,2026-04-24
orange_easy_peel_single_0203,2.18,C,S102,2026-04-24
mango_kent_organic_0204,6.06,B,S109,2026-04-24
grapes_red_premium_0205,4.28,A,S116,2026-04-24
pear_packham_kg_0206,2.84,A,S003,2026-04-24
kiwi_gold_family_0207,3.62,B,S010,2026-04-24
strawberry_premium_value_0208,4.95,A,S017,2026-04-24
blueberry_organic_box_0209,7.47,C,S024,2026-04-24
pineapple_whole_single_0210,3.12,B,S031,2026-04-24
watermelon_slice_pack_organic_0211,4.19,B,S038,2026-04-24
raspberry_uk_premium_0212,6.44,C,S045,2026-04-24
cherry_turkish_kg_0213,8.37,B,S052,2026-04-24
plum_black_family_0214,2.93,A,S059,2026-04-24
peach_yellow_value_0215,3.74,A,S066,2026-04-24
apricot_premium_box_0216,3.99,A,S073,2026-04-24
papaya_green_single_0217,5.48,A,S080,2026-04-24
pomegranate_imported_organic_0218,3.70,B,S087,2026-04-24
lime_organic_premium_0219,2.43,A,S094,2026-04-24
lemon_standard_kg_0220,2.30,B,S101,2026-04-24
apple_granny_smith_family_0221,3.28,C,S108,2026-04-24
banana_organic_value_0222,1.20,B,S115,2026-04-24
orange_easy_peel_box_0223,2.51,A,S002,2026-04-24
mango_kent_single_0224,5.63,A,S009,2026-04-24
grapes_red_organic_0225,4.75,C,S016,2026-04-24
pear_packham_premium_0226,2.54,C,S023,2026-04-24
kiwi_gold_kg_0227,4.01,B,S030,2026-04-24
strawberry_premium_family_0228,4.60,A,S037,2026-04-24
blueberry_organic_value_0229,6.99,B,S044,2026-04-24
pineapple_whole_box_0230,2.90,A,S051,2026-04-24
watermelon_slice_pack_single_0231,3.89,A,S058,2026-04-24
raspberry_uk_organic_0232,7.06,A,S065,2026-04-24
cherry_turkish_premium_0233,7.83,A,S072,2026-04-24
plum_black_kg_0234,3.09,A,S079,2026-04-24
peach_yellow_family_0235,3.37,B,S086,2026-04-24
apricot_premium_value_0236,4.56,A,S093,2026-04-24
papaya_green_box_0237,4.91,B,S100,2026-04-24
pomegranate_imported_single_0238,4.24,C,S107,2026-04-24
lime_organic_organic_0239,2.18,A,S114,2026-04-24
lemon_standard_premium_0240,2.63,A,S001,2026-04-24
apple_granny_smith_kg_0241,3.06,A,S008,2026-04-24
banana_organic_family_0242,1.37,A,S015,2026-04-24
orange_easy_peel_value_0243,2.26,A,S022,2026-04-24
mango_kent_box_0244,5.99,B,S029,2026-04-24
grapes_red_single_0245,4.42,A,S036,2026-04-24
pear_packham_organic_0246,2.80,A,S043,2026-04-24
kiwi_gold_premium_0247,3.73,A,S050,2026-04-24
strawberry_premium_kg_0248,5.30,B,S057,2026-04-24
blueberry_organic_family_0249,6.24,A,S064,2026-04-24
pineapple_whole_value_0250,3.34,A,S071,2026-04-24
watermelon_slice_pack_box_0251,3.43,B,S078,2026-04-24
raspberry_uk_single_0252,6.38,A,S085,2026-04-24
cherry_turkish_organic_0253,7.00,A,S092,2026-04-24
plum_black_premium_0254,2.90,A,S099,2026-04-24
peach_yellow_kg_0255,3.85,A,S106,2026-04-24
apricot_premium_family_0256,4.10,A,S113,2026-04-24
papaya_green_value_0257,5.61,A,S120,2026-04-24
pomegranate_imported_box_0258,3.96,C,S007,2026-04-24
lime_organic_single_0259,2.49,B,S014,2026-04-24
lemon_standard_organic_0260,2.45,A,S021,2026-04-24
apple_granny_smith_premium_0261,3.23,A,S028,2026-04-24
banana_organic_kg_0262,1.23,A,S035,2026-04-24
orange_easy_peel_family_0263,2.48,A,S042,2026-04-24
mango_kent_value_0264,5.59,A,S049,2026-04-24
grapes_red_box_0265,5.07,A,S056,2026-04-24
pear_packham_single_0266,2.62,A,S063,2026-04-24
kiwi_gold_organic_0267,4.28,B,S070,2026-04-24
strawberry_premium_premium_0268,4.73,A,S077,2026-04-24
blueberry_organic_kg_0269,7.18,A,S084,2026-04-24
pineapple_whole_family_0270,2.99,A,S091,2026-04-24
watermelon_slice_pack_value_0271,3.92,B,S098,2026-04-24
raspberry_uk_box_0272,5.93,B,S105,2026-04-24
cherry_turkish_single_0273,7.75,A,S112,2026-04-24
plum_black_organic_0274,2.69,C,S119,2026-04-24
peach_yellow_premium_0275,3.47,A,S006,2026-04-24
apricot_premium_kg_0276,3.80,C,S013,2026-04-24
papaya_green_family_0277,5.26,A,S020,2026-04-24
pomegranate_imported_value_0278,4.34,A,S027,2026-04-24
lime_organic_box_0279,2.25,B,S034,2026-04-24
lemon_standard_single_0280,2.60,A,S041,2026-04-24
apple_granny_smith_organic_0281,3.03,C,S048,2026-04-24
banana_organic_premium_0282,1.41,A,S055,2026-04-24
orange_easy_peel_kg_0283,2.32,A,S062,2026-04-24
mango_kent_family_0284,6.40,A,S069,2026-04-24
grapes_red_value_0285,4.54,A,S076,2026-04-24
pear_packham_box_0286,3.00,A,S083,2026-04-24
kiwi_gold_single_0287,3.83,C,S090,2026-04-24
strawberry_premium_organic_0288,5.23,B,S097,2026-04-24
blueberry_organic_premium_0289,6.44,A,S104,2026-04-24
pineapple_whole_kg_0290,3.30,B,S111,2026-04-24
watermelon_slice_pack_family_0291,3.62,B,S118,2026-04-24
raspberry_uk_value_0292,6.54,A,S005,2026-04-24
cherry_turkish_box_0293,7.20,A,S012,2026-04-24
plum_black_single_0294,3.10,B,S019,2026-04-24
peach_yellow_organic_0295,3.22,A,S026,2026-04-24
apricot_premium_premium_0296,4.38,B,S033,2026-04-24
papaya_green_kg_0297,4.52,A,S040,2026-04-24
pomegranate_imported_family_0298,3.91,A,S047,2026-04-24
lime_organic_value_0299,2.08,B,S054,2026-04-24
lemon_standard_box_0300,2.43,B,S061,2026-04-24
apple_granny_smith_single_0301,3.45,C,S068,2026-04-24
banana_organic_organic_0302,1.26,A,S075,2026-04-24
orange_easy_peel_premium_0303,2.65,B,S082,2026-04-24
mango_kent_kg_0304,5.74,C,S089,2026-04-24
grapes_red_family_0305,5.19,B,S096,2026-04-24
pear_packham_value_0306,2.70,A,S103,2026-04-24
kiwi_gold_box_0307,4.23,A,S110,2026-04-24
strawberry_premium_single_0308,4.88,A,S117,2026-04-24
blueberry_organic_organic_0309,7.09,B,S004,2026-04-24
pineapple_whole_premium_0310,3.07,A,S011,2026-04-24
watermelon_slice_pack_kg_0311,4.12,C,S018,2026-04-24
raspberry_uk_family_0312,6.09,C,S025,2026-04-24
cherry_turkish_value_0313,8.27,B,S032,2026-04-24
plum_black_box_0314,2.76,A,S039,2026-04-24
peach_yellow_single_0315,3.57,A,S046,2026-04-24
apricot_premium_organic_0316,3.77,B,S053,2026-04-24
papaya_green_premium_0317,5.21,A,S060,2026-04-24
pomegranate_imported_kg_0318,3.64,A,S067,2026-04-24
lime_organic_family_0319,2.31,C,S074,2026-04-24
lemon_standard_value_0320,2.26,C,S081,2026-04-24
apple_granny_smith_box_0321,3.11,C,S088,2026-04-24
banana_organic_single_0322,1.17,A,S095,2026-04-24
orange_easy_peel_organic_0323,2.48,A,S102,2026-04-24
mango_kent_premium_0324,6.32,A,S109,2026-04-24
grapes_red_kg_0325,4.69,A,S116,2026-04-24
pear_packham_family_0326,2.97,B,S003,2026-04-24
kiwi_gold_value_0327,3.96,B,S010,2026-04-24
strawberry_premium_box_0328,5.37,A,S017,2026-04-24
blueberry_organic_single_0329,6.63,B,S024,2026-04-24
pineapple_whole_organic_0330,3.52,A,S031,2026-04-24
watermelon_slice_pack_premium_0331,3.67,A,S038,2026-04-24
raspberry_uk_kg_0332,6.99,B,S045,2026-04-24
cherry_turkish_family_0333,7.14,C,S052,2026-04-24
plum_black_value_0334,3.06,A,S059,2026-04-24
peach_yellow_box_0335,3.33,C,S066,2026-04-24
apricot_premium_single_0336,4.33,A,S073,2026-04-24
papaya_green_organic_0337,4.85,B,S080,2026-04-24
pomegranate_imported_premium_0338,4.02,A,S087,2026-04-24
lime_organic_kg_0339,2.15,B,S094,2026-04-24
lemon_standard_family_0340,2.60,B,S101,2026-04-24
apple_granny_smith_value_0341,2.89,B,S108,2026-04-24
banana_organic_box_0342,1.30,A,S115,2026-04-24
orange_easy_peel_single_0343,2.13,B,S002,2026-04-24
mango_kent_organic_0344,5.92,C,S009,2026-04-24
grapes_red_premium_0345,4.17,B,S016,2026-04-24
pear_packham_kg_0346,2.78,B,S023,2026-04-24
kiwi_gold_family_0347,4.52,C,S030,2026-04-24
strawberry_premium_value_0348,5.01,A,S037,2026-04-24
blueberry_organic_box_0349,7.58,A,S044,2026-04-24
pineapple_whole_single_0350,3.16,B,S051,2026-04-24
watermelon_slice_pack_organic_0351,4.16,B,S058,2026-04-24
raspberry_uk_premium_0352,6.29,A,S065,2026-04-24
cherry_turkish_kg_0353,8.18,A,S072,2026-04-24
plum_black_family_0354,2.85,A,S079,2026-04-24
peach_yellow_value_0355,3.66,A,S086,2026-04-24
apricot_premium_box_0356,4.04,A,S093,2026-04-24
papaya_green_single_0357,5.33,A,S100,2026-04-24
pomegranate_imported_organic_0358,3.74,A,S107,2026-04-24
lime_organic_premium_0359,2.46,A,S114,2026-04-24
lemon_standard_kg_0360,2.24,A,S001,2026-04-24
apple_granny_smith_family_0361,3.20,A,S008,2026-04-24
banana_organic_value_0362,1.17,B,S015,2026-04-24
orange_easy_peel_box_0363,2.45,A,S022,2026-04-24
mango_kent_single_0364,5.50,B,S029,2026-04-24
grapes_red_organic_0365,4.82,B,S036,2026-04-24
pear_packham_premium_0366,2.57,C,S043,2026-04-24
kiwi_gold_kg_0367,4.06,A,S050,2026-04-24
strawberry_premium_family_0368,4.66,B,S057,2026-04-24
blueberry_organic_value_0369,6.56,C,S064,2026-04-24
pineapple_whole_box_0370,3.48,B,S071,2026-04-24
watermelon_slice_pack_single_0371,3.86,A,S078,2026-04-24
raspberry_uk_organic_0372,6.91,A,S085,2026-04-24
cherry_turkish_premium_0373,7.64,C,S092,2026-04-24
plum_black_kg_0374,3.13,A,S099,2026-04-24
peach_yellow_family_0375,3.42,C,S106,2026-04-24
apricot_premium_value_0376,4.63,C,S113,2026-04-24
papaya_green_box_0377,4.98,C,S120,2026-04-24
pomegranate_imported_single_0378,4.14,A,S007,2026-04-24
lime_organic_organic_0379,2.12,A,S014,2026-04-24
lemon_standard_premium_0380,2.57,A,S021,2026-04-24
apple_granny_smith_kg_0381,2.98,A,S028,2026-04-24
banana_organic_family_0382,1.33,B,S035,2026-04-24
orange_easy_peel_value_0383,2.29,C,S042,2026-04-24
mango_kent_box_0384,6.07,C,S049,2026-04-24
grapes_red_single_0385,4.48,A,S056,2026-04-24
pear_packham_organic_0386,2.84,A,S063,2026-04-24
kiwi_gold_premium_0387,3.64,A,S070,2026-04-24
strawberry_premium_kg_0388,5.17,A,S077,2026-04-24
blueberry_organic_family_0389,6.09,C,S084,2026-04-24
pineapple_whole_value_0390,3.25,A,S091,2026-04-24
watermelon_slice_pack_box_0391,3.40,C,S098,2026-04-24
raspberry_uk_single_0392,6.46,C,S105,2026-04-24
cherry_turkish_organic_0393,8.73,C,S112,2026-04-24
plum_black_premium_0394,2.94,B,S119,2026-04-24
peach_yellow_kg_0395,3.91,A,S006,2026-04-24
apricot_premium_family_0396,4.00,A,S013,2026-04-24
papaya_green_value_0397,5.49,B,S020,2026-04-24
pomegranate_imported_box_0398,3.71,A,S027,2026-04-24
lime_organic_single_0399,2.43,A,S034,2026-04-24
lemon_standard_organic_0400,2.39,B,S041,2026-04-24
apple_granny_smith_premium_0401,3.28,B,S048,2026-04-24
banana_organic_kg_0402,1.25,B,S055,2026-04-24
orange_easy_peel_family_0403,2.51,A,S062,2026-04-24
mango_kent_value_0404,5.66,B,S069,2026-04-24
grapes_red_box_0405,4.96,A,S076,2026-04-24
pear_packham_single_0406,2.56,A,S083,2026-04-24
kiwi_gold_organic_0407,4.18,C,S090,2026-04-24
strawberry_premium_premium_0408,4.62,A,S097,2026-04-24
blueberry_organic_kg_0409,7.01,A,S104,2026-04-24
pineapple_whole_family_0410,2.91,A,S111,2026-04-24
watermelon_slice_pack_value_0411,3.89,A,S118,2026-04-24
raspberry_uk_box_0412,6.00,A,S005,2026-04-24
cherry_turkish_single_0413,7.85,B,S012,2026-04-24
plum_black_organic_0414,2.62,B,S019,2026-04-24
peach_yellow_premium_0415,3.38,B,S026,2026-04-24
apricot_premium_kg_0416,4.57,A,S033,2026-04-24
papaya_green_family_0417,5.14,B,S040,2026-04-24
pomegranate_imported_value_0418,4.25,B,S047,2026-04-24
lime_organic_box_0419,2.28,C,S054,2026-04-24
lemon_standard_single_0420,2.63,B,S061,2026-04-24
apple_granny_smith_organic_0421,3.07,B,S068,2026-04-24
banana_organic_premium_0422,1.43,C,S075,2026-04-24
orange_easy_peel_kg_0423,2.26,C,S082,2026-04-24
mango_kent_family_0424,6.25,A,S089,2026-04-24
grapes_red_value_0425,4.44,A,S096,2026-04-24
pear_packham_box_0426,2.93,A,S103,2026-04-24
kiwi_gold_single_0427,3.75,B,S110,2026-04-24
strawberry_premium_organic_0428,5.31,B,S117,2026-04-24
blueberry_organic_premium_0429,6.53,A,S004,2026-04-24
pineapple_whole_kg_0430,3.35,B,S011,2026-04-24
watermelon_slice_pack_family_0431,3.59,B,S018,2026-04-24
raspberry_uk_value_0432,6.40,C,S025,2026-04-24
cherry_turkish_box_0433,7.03,B,S032,2026-04-24
plum_black_single_0434,3.03,C,S039,2026-04-24
peach_yellow_organic_0435,3.15,B,S046,2026-04-24
apricot_premium_premium_0436,4.28,C,S053,2026-04-24
papaya_green_kg_0437,4.57,C,S060,2026-04-24
pomegranate_imported_family_0438,3.98,C,S067,2026-04-24
lime_organic_value_0439,2.49,A,S074,2026-04-24
lemon_standard_box_0440,2.46,B,S081,2026-04-24
apple_granny_smith_single_0441,3.38,A,S088,2026-04-24
banana_organic_organic_0442,1.23,A,S095,2026-04-24
orange_easy_peel_premium_0443,2.59,A,S102,2026-04-24
mango_kent_kg_0444,5.61,B,S109,2026-04-24
grapes_red_family_0445,5.08,B,S116,2026-04-24
pear_packham_value_0446,2.74,B,S003,2026-04-24
kiwi_gold_box_0447,4.29,A,S010,2026-04-24
strawberry_premium_single_0448,4.95,C,S017,2026-04-24
blueberry_organic_organic_0449,7.20,B,S024,2026-04-24
pineapple_whole_premium_0450,3.00,A,S031,2026-04-24
watermelon_slice_pack_kg_0451,3.93,A,S038,2026-04-24
raspberry_uk_family_0452,5.95,A,S045,2026-04-24
cherry_turkish_value_0453,8.09,A,S052,2026-04-24
plum_black_box_0454,2.70,C,S059,2026-04-24
peach_yellow_single_0455,3.61,A,S066,2026-04-24
apricot_premium_organic_0456,3.82,C,S073,2026-04-24
papaya_green_premium_0457,5.27,B,S080,2026-04-24
pomegranate_imported_kg_0458,3.69,C,S087,2026-04-24
lime_organic_family_0459,2.26,A,S094,2026-04-24
lemon_standard_value_0460,2.20,A,S101,2026-04-24
apple_granny_smith_box_0461,3.04,B,S108,2026-04-24
banana_organic_single_0462,1.41,C,S115,2026-04-24
orange_easy_peel_organic_0463,2.42,B,S002,2026-04-24
mango_kent_premium_0464,6.41,B,S009,2026-04-24
grapes_red_kg_0465,4.75,A,S016,2026-04-24
pear_packham_family_0466,3.01,C,S023,2026-04-24
kiwi_gold_value_0467,4.01,A,S030,2026-04-24
strawberry_premium_box_0468,5.24,B,S037,2026-04-24
blueberry_organic_single_0469,6.47,B,S044,2026-04-24
pineapple_whole_organic_0470,3.44,B,S051,2026-04-24
watermelon_slice_pack_premium_0471,3.64,B,S058,2026-04-24
raspberry_uk_kg_0472,6.84,A,S065,2026-04-24
cherry_turkish_family_0473,7.23,A,S072,2026-04-24
plum_black_value_0474,3.11,A,S079,2026-04-24
peach_yellow_box_0475,3.37,A,S086,2026-04-24
apricot_premium_single_0476,4.40,A,S093,2026-04-24
papaya_green_organic_0477,4.73,A,S100,2026-04-24
