history_id,date,pair,base,quote,rate,provider,quality_tier
GBP_EUR-2023-05-06,2023-05-06,GBP_EUR,GBP,EUR,1.169116,manual_uploaded_rates,manual
GBP_INR-2023-05-07,2023-05-07,GBP_INR,GBP,INR,107.4929,manual_uploaded_rates,manual
USD_INR-2023-05-07,2023-05-07,USD_INR,USD,INR,82.7715,manual_uploaded_rates,manual
EUR_INR-2023-05-07,2023-05-07,EUR_INR,EUR,INR,91.0517,manual_uploaded_rates,manual
GBP_USD-2023-05-07,2023-05-07,GBP_USD,GBP,USD,1.279206,manual_uploaded_rates,manual
EUR_GBP-2023-05-07,2023-05-07,EUR_GBP,EUR,GBP,0.832971,manual_uploaded_rates,manual
EUR_USD-2023-05-07,2023-05-07,EUR_USD,EUR,USD,1.080879,manual_uploaded_rates,manual
USD_GBP-2023-05-07,2023-05-07,USD_GBP,USD,GBP,0.773473,manual_uploaded_rates,manual
GBP_EUR-2023-05-07,2023-05-07,GBP_EUR,GBP,EUR,1.170126,manual_uploaded_rates,manual
GBP_INR-2023-05-08,2023-05-08,GBP_INR,GBP,INR,107.5801,manual_uploaded_rates,manual
USD_INR-2023-05-08,2023-05-08,USD_INR,USD,INR,82.8387,manual_uploaded_rates,manual
EUR_INR-2023-05-08,2023-05-08,EUR_INR,EUR,INR,91.1255,manual_uploaded_rates,manual
GBP_USD-2023-05-08,2023-05-08,GBP_USD,GBP,USD,1.280243,manual_uploaded_rates,manual
EUR_GBP-2023-05-08,2023-05-08,EUR_GBP,EUR,GBP,0.833647,manual_uploaded_rates,manual
EUR_USD-2023-05-08,2023-05-08,EUR_USD,EUR,USD,1.081756,manual_uploaded_rates,manual
USD_GBP-2023-05-08,2023-05-08,USD_GBP,USD,GBP,0.7741,manual_uploaded_rates,manual
GBP_EUR-2023-05-08,2023-05-08,GBP_EUR,GBP,EUR,1.171075,manual_uploaded_rates,manual
GBP_INR-2023-05-09,2023-05-09,GBP_INR,GBP,INR,107.661,manual_uploaded_rates,manual
USD_INR-2023-05-09,2023-05-09,USD_INR,USD,INR,82.901,manual_uploaded_rates,manual
EUR_INR-2023-05-09,2023-05-09,EUR_INR,EUR,INR,91.194,manual_uploaded_rates,manual
GBP_USD-2023-05-09,2023-05-09,GBP_USD,GBP,USD,1.281206,manual_uploaded_rates,manual
EUR_GBP-2023-05-09,2023-05-09,EUR_GBP,EUR,GBP,0.834274,manual_uploaded_rates,manual
EUR_USD-2023-05-09,2023-05-09,EUR_USD,EUR,USD,1.082569,manual_uploaded_rates,manual
USD_GBP-2023-05-09,2023-05-09,USD_GBP,USD,GBP,0.774683,manual_uploaded_rates,manual
GBP_EUR-2023-05-09,2023-05-09,GBP_EUR,GBP,EUR,1.171956,manual_uploaded_rates,manual
GBP_INR-2023-05-10,2023-05-10,GBP_INR,GBP,INR,107.7351,manual_uploaded_rates,manual
USD_INR-2023-05-10,2023-05-10,USD_INR,USD,INR,82.958,manual_uploaded_rates,manual
EUR_INR-2023-05-10,2023-05-10,EUR_INR,EUR,INR,91.2568,manual_uploaded_rates,manual
GBP_USD-2023-05-10,2023-05-10,GBP_USD,GBP,USD,1.282088,manual_uploaded_rates,manual
EUR_GBP-2023-05-10,2023-05-10,EUR_GBP,EUR,GBP,0.834848,manual_uploaded_rates,manual
EUR_USD-2023-05-10,2023-05-10,EUR_USD,EUR,USD,1.083314,manual_uploaded_rates,manual
USD_GBP-2023-05-10,2023-05-10,USD_GBP,USD,GBP,0.775216,manual_uploaded_rates,manual
GBP_EUR-2023-05-10,2023-05-10,GBP_EUR,GBP,EUR,1.172762,manual_uploaded_rates,manual
GBP_INR-2023-05-11,2023-05-11,GBP_INR,GBP,INR,107.8019,manual_uploaded_rates,manual
USD_INR-2023-05-11,2023-05-11,USD_INR,USD,INR,83.0095,manual_uploaded_rates,manual
EUR_INR-2023-05-11,2023-05-11,EUR_INR,EUR,INR,91.3134,manual_uploaded_rates,manual
GBP_USD-2023-05-11,2023-05-11,GBP_USD,GBP,USD,1.282883,manual_uploaded_rates,manual
EUR_GBP-2023-05-11,2023-05-11,EUR_GBP,EUR,GBP,0.835366,manual_uploaded_rates,manual
EUR_USD-2023-05-11,2023-05-11,EUR_USD,EUR,USD,1.083986,manual_uploaded_rates,manual
USD_GBP-2023-05-11,2023-05-11,USD_GBP,USD,GBP,0.775697,manual_uploaded_rates,manual
GBP_EUR-2023-05-11,2023-05-11,GBP_EUR,GBP,EUR,1.17349,manual_uploaded_rates,manual
GBP_INR-2023-05-12,2023-05-12,GBP_INR,GBP,INR,107.8612,manual_uploaded_rates,manual
USD_INR-2023-05-12,2023-05-12,USD_INR,USD,INR,83.0551,manual_uploaded_rates,manual
EUR_INR-2023-05-12,2023-05-12,EUR_INR,EUR,INR,91.3636,manual_uploaded_rates,manual
GBP_USD-2023-05-12,2023-05-12,GBP_USD,GBP,USD,1.283588,manual_uploaded_rates,manual
EUR_GBP-2023-05-12,2023-05-12,EUR_GBP,EUR,GBP,0.835825,manual_uploaded_rates,manual
EUR_USD-2023-05-12,2023-05-12,EUR_USD,EUR,USD,1.084583,manual_uploaded_rates,manual
USD_GBP-2023-05-12,2023-05-12,USD_GBP,USD,GBP,0.776123,manual_uploaded_rates,manual
GBP_EUR-2023-05-12,2023-05-12,GBP_EUR,GBP,EUR,1.174135,manual_uploaded_rates,manual
GBP_INR-2023-05-13,2023-05-13,GBP_INR,GBP,INR,107.9128,manual_uploaded_rates,manual
USD_INR-2023-05-13,2023-05-13,USD_INR,USD,INR,83.0948,manual_uploaded_rates,manual
EUR_INR-2023-05-13,2023-05-13,EUR_INR,EUR,INR,91.4073,manual_uploaded_rates,manual
GBP_USD-2023-05-13,2023-05-13,GBP_USD,GBP,USD,1.284202,manual_uploaded_rates,manual
EUR_GBP-2023-05-13,2023-05-13,EUR_GBP,EUR,GBP,0.836225,manual_uploaded_rates,manual
EUR_USD-2023-05-13,2023-05-13,EUR_USD,EUR,USD,1.085101,manual_uploaded_rates,manual
USD_GBP-2023-05-13,2023-05-13,USD_GBP,USD,GBP,0.776494,manual_uploaded_rates,manual
GBP_EUR-2023-05-13,2023-05-13,GBP_EUR,GBP,EUR,1.174697,manual_uploaded_rates,manual
GBP_INR-2023-05-14,2023-05-14,GBP_INR,GBP,INR,107.9566,manual_uploaded_rates,manual
USD_INR-2023-05-14,2023-05-14,USD_INR,USD,INR,83.1286,manual_uploaded_rates,manual
EUR_INR-2023-05-14,2023-05-14,EUR_INR,EUR,INR,91.4444,manual_uploaded_rates,manual
GBP_USD-2023-05-14,2023-05-14,GBP_USD,GBP,USD,1.284724,manual_uploaded_rates,manual
EUR_GBP-2023-05-14,2023-05-14,EUR_GBP,EUR,GBP,0.836564,manual_uploaded_rates,manual
EUR_USD-2023-05-14,2023-05-14,EUR_USD,EUR,USD,1.085542,manual_uploaded_rates,manual
USD_GBP-2023-05-14,2023-05-14,USD_GBP,USD,GBP,0.77681,manual_uploaded_rates,manual
GBP_EUR-2023-05-14,2023-05-14,GBP_EUR,GBP,EUR,1.175173,manual_uploaded_rates,manual
GBP_INR-2023-05-15,2023-05-15,GBP_INR,GBP,INR,107.9928,manual_uploaded_rates,manual
USD_INR-2023-05-15,2023-05-15,USD_INR,USD,INR,83.1564,manual_uploaded_rates,manual
EUR_INR-2023-05-15,2023-05-15,EUR_INR,EUR,INR,91.4751,manual_uploaded_rates,manual
GBP_USD-2023-05-15,2023-05-15,GBP_USD,GBP,USD,1.285154,manual_uploaded_rates,manual
EUR_GBP-2023-05-15,2023-05-15,EUR_GBP,EUR,GBP,0.836844,manual_uploaded_rates,manual
EUR_USD-2023-05-15,2023-05-15,EUR_USD,EUR,USD,1.085905,manual_uploaded_rates,manual
USD_GBP-2023-05-15,2023-05-15,USD_GBP,USD,GBP,0.77707,manual_uploaded_rates,manual
GBP_EUR-2023-05-15,2023-05-15,GBP_EUR,GBP,EUR,1.175567,manual_uploaded_rates,manual
GBP_INR-2023-05-16,2023-05-16,GBP_INR,GBP,INR,108.0215,manual_uploaded_rates,manual
USD_INR-2023-05-16,2023-05-16,USD_INR,USD,INR,83.1786,manual_uploaded_rates,manual
EUR_INR-2023-05-16,2023-05-16,EUR_INR,EUR,INR,91.4994,manual_uploaded_rates,manual
GBP_USD-2023-05-16,2023-05-16,GBP_USD,GBP,USD,1.285496,manual_uploaded_rates,manual
EUR_GBP-2023-05-16,2023-05-16,EUR_GBP,EUR,GBP,0.837067,manual_uploaded_rates,manual
EUR_USD-2023-05-16,2023-05-16,EUR_USD,EUR,USD,1.086195,manual_uploaded_rates,manual
USD_GBP-2023-05-16,2023-05-16,USD_GBP,USD,GBP,0.777277,manual_uploaded_rates,manual
GBP_EUR-2023-05-16,2023-05-16,GBP_EUR,GBP,EUR,1.17588,manual_uploaded_rates,manual
GBP_INR-2023-05-17,2023-05-17,GBP_INR,GBP,INR,108.0433,manual_uploaded_rates,manual
USD_INR-2023-05-17,2023-05-17,USD_INR,USD,INR,83.1953,manual_uploaded_rates,manual
EUR_INR-2023-05-17,2023-05-17,EUR_INR,EUR,INR,91.5178,manual_uploaded_rates,manual
GBP_USD-2023-05-17,2023-05-17,GBP_USD,GBP,USD,1.285755,manual_uploaded_rates,manual
EUR_GBP-2023-05-17,2023-05-17,EUR_GBP,EUR,GBP,0.837236,manual_uploaded_rates,manual
EUR_USD-2023-05-17,2023-05-17,EUR_USD,EUR,USD,1.086413,manual_uploaded_rates,manual
USD_GBP-2023-05-17,2023-05-17,USD_GBP,USD,GBP,0.777433,manual_uploaded_rates,manual
GBP_EUR-2023-05-17,2023-05-17,GBP_EUR,GBP,EUR,1.176117,manual_uploaded_rates,manual
GBP_INR-2023-05-18,2023-05-18,GBP_INR,GBP,INR,108.0584,manual_uploaded_rates,manual
USD_INR-2023-05-18,2023-05-18,USD_INR,USD,INR,83.207,manual_uploaded_rates,manual
EUR_INR-2023-05-18,2023-05-18,EUR_INR,EUR,INR,91.5307,manual_uploaded_rates,manual
GBP_USD-2023-05-18,2023-05-18,GBP_USD,GBP,USD,1.285935,manual_uploaded_rates,manual
EUR_GBP-2023-05-18,2023-05-18,EUR_GBP,EUR,GBP,0.837353,manual_uploaded_rates,manual
EUR_USD-2023-05-18,2023-05-18,EUR_USD,EUR,USD,1.086565,manual_uploaded_rates,manual
USD_GBP-2023-05-18,2023-05-18,USD_GBP,USD,GBP,0.777542,manual_uploaded_rates,manual
GBP_EUR-2023-05-18,2023-05-18,GBP_EUR,GBP,EUR,1.176282,manual_uploaded_rates,manual
GBP_INR-2023-05-19,2023-05-19,GBP_INR,GBP,INR,108.0676,manual_uploaded_rates,manual
USD_INR-2023-05-19,2023-05-19,USD_INR,USD,INR,83.214,manual_uploaded_rates,manual
EUR_INR-2023-05-19,2023-05-19,EUR_INR,EUR,INR,91.5384,manual_uploaded_rates,manual
GBP_USD-2023-05-19,2023-05-19,GBP_USD,GBP,USD,1.286044,manual_uploaded_rates,manual
EUR_GBP-2023-05-19,2023-05-19,EUR_GBP,EUR,GBP,0.837424,manual_uploaded_rates,manual
EUR_USD-2023-05-19,2023-05-19,EUR_USD,EUR,USD,1.086657,manual_uploaded_rates,manual
USD_GBP-2023-05-19,2023-05-19,USD_GBP,USD,GBP,0.777608,manual_uploaded_rates,manual
GBP_EUR-2023-05-19,2023-05-19,GBP_EUR,GBP,EUR,1.176382,manual_uploaded_rates,manual
GBP_INR-2023-05-20,2023-05-20,GBP_INR,GBP,INR,108.0715,manual_uploaded_rates,manual
USD_INR-2023-05-20,2023-05-20,USD_INR,USD,INR,83.217,manual_uploaded_rates,manual
EUR_INR-2023-05-20,2023-05-20,EUR_INR,EUR,INR,91.5417,manual_uploaded_rates,manual
GBP_USD-2023-05-20,2023-05-20,GBP_USD,GBP,USD,1.28609,manual_uploaded_rates,manual
EUR_GBP-2023-05-20,2023-05-20,EUR_GBP,EUR,GBP,0.837454,manual_uploaded_rates,manual
EUR_USD-2023-05-20,2023-05-20,EUR_USD,EUR,USD,1.086696,manual_uploaded_rates,manual
USD_GBP-2023-05-20,2023-05-20,USD_GBP,USD,GBP,0.777636,manual_uploaded_rates,manual
GBP_EUR-2023-05-20,2023-05-20,GBP_EUR,GBP,EUR,1.176424,manual_uploaded_rates,manual
GBP_INR-2023-05-21,2023-05-21,GBP_INR,GBP,INR,108.0708,manual_uploaded_rates,manual
USD_INR-2023-05-21,2023-05-21,USD_INR,USD,INR,83.2165,manual_uploaded_rates,manual
EUR_INR-2023-05-21,2023-05-21,EUR_INR,EUR,INR,91.5412,manual_uploaded_rates,manual
GBP_USD-2023-05-21,2023-05-21,GBP_USD,GBP,USD,1.286082,manual_uploaded_rates,manual
EUR_GBP-2023-05-21,2023-05-21,EUR_GBP,EUR,GBP,0.837449,manual_uploaded_rates,manual
EUR_USD-2023-05-21,2023-05-21,EUR_USD,EUR,USD,1.08669,manual_uploaded_rates,manual
USD_GBP-2023-05-21,2023-05-21,USD_GBP,USD,GBP,0.777631,manual_uploaded_rates,manual
GBP_EUR-2023-05-21,2023-05-21,GBP_EUR,GBP,EUR,1.176417,manual_uploaded_rates,manual
GBP_INR-2023-05-22,2023-05-22,GBP_INR,GBP,INR,108.0664,manual_uploaded_rates,manual
USD_INR-2023-05-22,2023-05-22,USD_INR,USD,INR,83.2131,manual_uploaded_rates,manual
EUR_INR-2023-05-22,2023-05-22,EUR_INR,EUR,INR,91.5374,manual_uploaded_rates,manual
GBP_USD-2023-05-22,2023-05-22,GBP_USD,GBP,USD,1.28603,manual_uploaded_rates,manual
EUR_GBP-2023-05-22,2023-05-22,EUR_GBP,EUR,GBP,0.837415,manual_uploaded_rates,manual
EUR_USD-2023-05-22,2023-05-22,EUR_USD,EUR,USD,1.086646,manual_uploaded_rates,manual
USD_GBP-2023-05-22,2023-05-22,USD_GBP,USD,GBP,0.7776,manual_uploaded_rates,manual
GBP_EUR-2023-05-22,2023-05-22,GBP_EUR,GBP,EUR,1.176369,manual_uploaded_rates,manual
GBP_INR-2023-05-23,2023-05-23,GBP_INR,GBP,INR,108.0592,manual_uploaded_rates,manual
USD_INR-2023-05-23,2023-05-23,USD_INR,USD,INR,83.2076,manual_uploaded_rates,manual
EUR_INR-2023-05-23,2023-05-23,EUR_INR,EUR,INR,91.5313,manual_uploaded_rates,manual
GBP_USD-2023-05-23,2023-05-23,GBP_USD,GBP,USD,1.285944,manual_uploaded_rates,manual
EUR_GBP-2023-05-23,2023-05-23,EUR_GBP,EUR,GBP,0.837359,manual_uploaded_rates,manual
EUR_USD-2023-05-23,2023-05-23,EUR_USD,EUR,USD,1.086573,manual_uploaded_rates,manual
USD_GBP-2023-05-23,2023-05-23,USD_GBP,USD,GBP,0.777548,manual_uploaded_rates,manual
GBP_EUR-2023-05-23,2023-05-23,GBP_EUR,GBP,EUR,1.17629,manual_uploaded_rates,manual
GBP_INR-2023-05-24,2023-05-24,GBP_INR,GBP,INR,108.05,manual_uploaded_rates,manual
USD_INR-2023-05-24,2023-05-24,USD_INR,USD,INR,83.2005,manual_uploaded_rates,manual
EUR_INR-2023-05-24,2023-05-24,EUR_INR,EUR,INR,91.5235,manual_uploaded_rates,manual
GBP_USD-2023-05-24,2023-05-24,GBP_USD,GBP,USD,1.285834,manual_uploaded_rates,manual
EUR_GBP-2023-05-24,2023-05-24,EUR_GBP,EUR,GBP,0.837288,manual_uploaded_rates,manual
EUR_USD-2023-05-24,2023-05-24,EUR_USD,EUR,USD,1.08648,manual_uploaded_rates,manual
USD_GBP-2023-05-24,2023-05-24,USD_GBP,USD,GBP,0.777481,manual_uploaded_rates,manual
GBP_EUR-2023-05-24,2023-05-24,GBP_EUR,GBP,EUR,1.17619,manual_uploaded_rates,manual
GBP_INR-2023-05-25,2023-05-25,GBP_INR,GBP,INR,108.0397,manual_uploaded_rates,manual
USD_INR-2023-05-25,2023-05-25,USD_INR,USD,INR,83.1925,manual_uploaded_rates,manual
EUR_INR-2023-05-25,2023-05-25,EUR_INR,EUR,INR,91.5148,manual_uploaded_rates,manual
GBP_USD-2023-05-25,2023-05-25,GBP_USD,GBP,USD,1.285712,manual_uploaded_rates,manual
EUR_GBP-2023-05-25,2023-05-25,EUR_GBP,EUR,GBP,0.837208,manual_uploaded_rates,manual
EUR_USD-2023-05-25,2023-05-25,EUR_USD,EUR,USD,1.086377,manual_uploaded_rates,manual
USD_GBP-2023-05-25,2023-05-25,USD_GBP,USD,GBP,0.777407,manual_uploaded_rates,manual
GBP_EUR-2023-05-25,2023-05-25,GBP_EUR,GBP,EUR,1.176078,manual_uploaded_rates,manual
GBP_INR-2023-05-26,2023-05-26,GBP_INR,GBP,INR,108.0292,manual_uploaded_rates,manual
USD_INR-2023-05-26,2023-05-26,USD_INR,USD,INR,83.1845,manual_uploaded_rates,manual
EUR_INR-2023-05-26,2023-05-26,EUR_INR,EUR,INR,91.5059,manual_uploaded_rates,manual
GBP_USD-2023-05-26,2023-05-26,GBP_USD,GBP,USD,1.285587,manual_uploaded_rates,manual
EUR_GBP-2023-05-26,2023-05-26,EUR_GBP,EUR,GBP,0.837126,manual_uploaded_rates,manual
EUR_USD-2023-05-26,2023-05-26,EUR_USD,EUR,USD,1.086271,manual_uploaded_rates,manual
USD_GBP-2023-05-26,2023-05-26,USD_GBP,USD,GBP,0.777332,manual_uploaded_rates,manual
GBP_EUR-2023-05-26,2023-05-26,GBP_EUR,GBP,EUR,1.175963,manual_uploaded_rates,manual
GBP_INR-2023-05-27,2023-05-27,GBP_INR,GBP,INR,108.0193,manual_uploaded_rates,manual
USD_INR-2023-05-27,2023-05-27,USD_INR,USD,INR,83.1769,manual_uploaded_rates,manual
EUR_INR-2023-05-27,2023-05-27,EUR_INR,EUR,INR,91.4975,manual_uploaded_rates,manual
GBP_USD-2023-05-27,2023-05-27,GBP_USD,GBP,USD,1.28547,manual_uploaded_rates,manual
EUR_GBP-2023-05-27,2023-05-27,EUR_GBP,EUR,GBP,0.83705,manual_uploaded_rates,manual
EUR_USD-2023-05-27,2023-05-27,EUR_USD,EUR,USD,1.086172,manual_uploaded_rates,manual
USD_GBP-2023-05-27,2023-05-27,USD_GBP,USD,GBP,0.777261,manual_uploaded_rates,manual
GBP_EUR-2023-05-27,2023-05-27,GBP_EUR,GBP,EUR,1.175856,manual_uploaded_rates,manual
GBP_INR-2023-05-28,2023-05-28,GBP_INR,GBP,INR,108.0109,manual_uploaded_rates,manual
USD_INR-2023-05-28,2023-05-28,USD_INR,USD,INR,83.1704,manual_uploaded_rates,manual
EUR_INR-2023-05-28,2023-05-28,EUR_INR,EUR,INR,91.4904,manual_uploaded_rates,manual
GBP_USD-2023-05-28,2023-05-28,GBP_USD,GBP,USD,1.285369,manual_uploaded_rates,manual
EUR_GBP-2023-05-28,2023-05-28,EUR_GBP,EUR,GBP,0.836985,manual_uploaded_rates,manual
EUR_USD-2023-05-28,2023-05-28,EUR_USD,EUR,USD,1.086087,manual_uploaded_rates,manual
USD_GBP-2023-05-28,2023-05-28,USD_GBP,USD,GBP,0.7772,manual_uploaded_rates,manual
GBP_EUR-2023-05-28,2023-05-28,GBP_EUR,GBP,EUR,1.175764,manual_uploaded_rates,manual
GBP_INR-2023-05-29,2023-05-29,GBP_INR,GBP,INR,108.0046,manual_uploaded_rates,manual
USD_INR-2023-05-29,2023-05-29,USD_INR,USD,INR,83.1656,manual_uploaded_rates,manual
EUR_INR-2023-05-29,2023-05-29,EUR_INR,EUR,INR,91.4851,manual_uploaded_rates,manual
GBP_USD-2023-05-29,2023-05-29,GBP_USD,GBP,USD,1.285295,manual_uploaded_rates,manual
EUR_GBP-2023-05-29,2023-05-29,EUR_GBP,EUR,GBP,0.836936,manual_uploaded_rates,manual
EUR_USD-2023-05-29,2023-05-29,EUR_USD,EUR,USD,1.086024,manual_uploaded_rates,manual
USD_GBP-2023-05-29,2023-05-29,USD_GBP,USD,GBP,0.777155,manual_uploaded_rates,manual
GBP_EUR-2023-05-29,2023-05-29,GBP_EUR,GBP,EUR,1.175696,manual_uploaded_rates,manual
GBP_INR-2023-05-30,2023-05-30,GBP_INR,GBP,INR,108.0012,manual_uploaded_rates,manual
USD_INR-2023-05-30,2023-05-30,USD_INR,USD,INR,83.1629,manual_uploaded_rates,manual
EUR_INR-2023-05-30,2023-05-30,EUR_INR,EUR,INR,91.4822,manual_uploaded_rates,manual
GBP_USD-2023-05-30,2023-05-30,GBP_USD,GBP,USD,1.285254,manual_uploaded_rates,manual
EUR_GBP-2023-05-30,2023-05-30,EUR_GBP,EUR,GBP,0.83691,manual_uploaded_rates,manual
EUR_USD-2023-05-30,2023-05-30,EUR_USD,EUR,USD,1.08599,manual_uploaded_rates,manual
USD_GBP-2023-05-30,2023-05-30,USD_GBP,USD,GBP,0.77713,manual_uploaded_rates,manual
GBP_EUR-2023-05-30,2023-05-30,GBP_EUR,GBP,EUR,1.175659,manual_uploaded_rates,manual
GBP_INR-2023-05-31,2023-05-31,GBP_INR,GBP,INR,108.0011,manual_uploaded_rates,manual
USD_INR-2023-05-31,2023-05-31,USD_INR,USD,INR,83.1628,manual_uploaded_rates,manual
EUR_INR-2023-05-31,2023-05-31,EUR_INR,EUR,INR,91.4821,manual_uploaded_rates,manual
GBP_USD-2023-05-31,2023-05-31,GBP_USD,GBP,USD,1.285253,manual_uploaded_rates,manual
EUR_GBP-2023-05-31,2023-05-31,EUR_GBP,EUR,GBP,0.836909,manual_uploaded_rates,manual
EUR_USD-2023-05-31,2023-05-31,EUR_USD,EUR,USD,1.085989,manual_uploaded_rates,manual
USD_GBP-2023-05-31,2023-05-31,USD_GBP,USD,GBP,0.77713,manual_uploaded_rates,manual
GBP_EUR-2023-05-31,2023-05-31,GBP_EUR,GBP,EUR,1.175658,manual_uploaded_rates,manual
GBP_INR-2023-06-01,2023-06-01,GBP_INR,GBP,INR,108.0048,manual_uploaded_rates,manual
USD_INR-2023-06-01,2023-06-01,USD_INR,USD,INR,83.1657,manual_uploaded_rates,manual
EUR_INR-2023-06-01,2023-06-01,EUR_INR,EUR,INR,91.4853,manual_uploaded_rates,manual
GBP_USD-2023-06-01,2023-06-01,GBP_USD,GBP,USD,1.285297,manual_uploaded_rates,manual
EUR_GBP-2023-06-01,2023-06-01,EUR_GBP,EUR,GBP,0.836938,manual_uploaded_rates,manual
EUR_USD-2023-06-01,2023-06-01,EUR_USD,EUR,USD,1.086027,manual_uploaded_rates,manual
USD_GBP-2023-06-01,2023-06-01,USD_GBP,USD,GBP,0.777157,manual_uploaded_rates,manual
GBP_EUR-2023-06-01,2023-06-01,GBP_EUR,GBP,EUR,1.175698,manual_uploaded_rates,manual
